skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Beige,Black Canvas Jacket + Charcoal Chinos,Black highlights Beige skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Monochrome
Olive,Bright Yellow Velvet Jacket + Cyan Chinos,Bright Yellow highlights Olive skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Playful
Deep Dark,Teal Corduroy Jacket + Magenta Chinos,Teal highlights Deep Dark skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Vibrant
Fair,Dusty Rose Flannel Jacket + Olive Green Chinos,Dusty Rose highlights Fair skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Muted
Tan,Terracotta Chiffon Jacket + Sand Chinos,Terracotta highlights Tan skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Earthy
Medium,Black Knits Jacket + Charcoal Chinos,Black highlights Medium skin tone,Knits is perfect for spring weather,ideal for edgy style.,Monochrome
Dark,Bright Yellow Canvas Jacket + Cyan Chinos,Bright Yellow highlights Dark skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Playful
Honey,Teal Velvet Jacket + Magenta Chinos,Teal highlights Honey skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Vibrant
Caramel,Dusty Rose Corduroy Jacket + Olive Green Chinos,Dusty Rose highlights Caramel skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Muted
Deep Tan,Terracotta Flannel Jacket + Sand Chinos,Terracotta highlights Deep Tan skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Earthy
Warm Brown,Black Chiffon Jacket + Charcoal Chinos,Black highlights Warm Brown skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Monochrome
Ebony,Bright Yellow Knits Jacket + Cyan Chinos,Bright Yellow highlights Ebony skin tone,Knits is perfect for summer weather,ideal for edgy style.,Playful
Porcelain,Teal Canvas Jacket + Magenta Chinos,Teal highlights Porcelain skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Vibrant
Light,Dusty Rose Velvet Jacket + Olive Green Chinos,Dusty Rose highlights Light skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Muted
Beige,Terracotta Corduroy Jacket + Sand Chinos,Terracotta highlights Beige skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Earthy
Olive,Black Flannel Jacket + Charcoal Chinos,Black highlights Olive skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Monochrome
Deep Dark,Bright Yellow Chiffon Jacket + Cyan Chinos,Bright Yellow highlights Deep Dark skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Playful
Fair,Teal Knits Jacket + Magenta Chinos,Teal highlights Fair skin tone,Knits is perfect for spring weather,ideal for edgy style.,Vibrant
Tan,Dusty Rose Canvas Jacket + Olive Green Chinos,Dusty Rose highlights Tan skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Muted
Medium,Terracotta Velvet Jacket + Sand Chinos,Terracotta highlights Medium skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Earthy
Dark,Black Corduroy Jacket + Charcoal Chinos,Black highlights Dark skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Monochrome
Honey,Bright Yellow Flannel Jacket + Cyan Chinos,Bright Yellow highlights Honey skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Playful
Caramel,Teal Chiffon Jacket + Magenta Chinos,Teal highlights Caramel skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Vibrant
Deep Tan,Dusty Rose Knits Jacket + Olive Green Chinos,Dusty Rose highlights Deep Tan skin tone,Knits is perfect for summer weather,ideal for edgy style.,Muted
Warm Brown,Terracotta Canvas Jacket + Sand Chinos,Terracotta highlights Warm Brown skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Earthy
Ebony,Black Velvet Jacket + Charcoal Chinos,Black highlights Ebony skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Monochrome
Porcelain,Bright Yellow Corduroy Jacket + Cyan Chinos,Bright Yellow highlights Porcelain skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Playful
Light,Teal Flannel Jacket + Magenta Chinos,Teal highlights Light skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Vibrant
Beige,Dusty Rose Chiffon Jacket + Olive Green Chinos,Dusty Rose highlights Beige skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Muted
Olive,Terracotta Knits Jacket + Sand Chinos,Terracotta highlights Olive skin tone,Knits is perfect for spring weather,ideal for edgy style.,Earthy
Deep Dark,Black Canvas Jacket + Charcoal Chinos,Black highlights Deep Dark skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Monochrome
Fair,Bright Yellow Velvet Jacket + Cyan Chinos,Bright Yellow highlights Fair skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Playful
Tan,Teal Corduroy Jacket + Magenta Chinos,Teal highlights Tan skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Vibrant
Medium,Dusty Rose Flannel Jacket + Olive Green Chinos,Dusty Rose highlights Medium skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Muted
Dark,Terracotta Chiffon Jacket + Sand Chinos,Terracotta highlights Dark skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Earthy
Honey,Black Knits Jacket + Charcoal Chinos,Black highlights Honey skin tone,Knits is perfect for summer weather,ideal for edgy style.,Monochrome
Caramel,Bright Yellow Canvas Jacket + Cyan Chinos,Bright Yellow highlights Caramel skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Playful
Deep Tan,Teal Velvet Jacket + Magenta Chinos,Teal highlights Deep Tan skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Vibrant
Warm Brown,Dusty Rose Corduroy Jacket + Olive Green Chinos,Dusty Rose highlights Warm Brown skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Muted
Ebony,Terracotta Flannel Jacket + Sand Chinos,Terracotta highlights Ebony skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Earthy
Porcelain,Black Chiffon Jacket + Charcoal Chinos,Black highlights Porcelain skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Monochrome
Light,Bright Yellow Knits Jacket + Cyan Chinos,Bright Yellow highlights Light skin tone,Knits is perfect for spring weather,ideal for edgy style.,Playful
Beige,Teal Canvas Jacket + Magenta Chinos,Teal highlights Beige skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Vibrant
Olive,Dusty Rose Velvet Jacket + Olive Green Chinos,Dusty Rose highlights Olive skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Muted
Deep Dark,Terracotta Corduroy Jacket + Sand Chinos,Terracotta highlights Deep Dark skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Earthy
Fair,Black Flannel Jacket + Charcoal Chinos,Black highlights Fair skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Monochrome
Tan,Bright Yellow Chiffon Jacket + Cyan Chinos,Bright Yellow highlights Tan skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Playful
Medium,Teal Knits Jacket + Magenta Chinos,Teal highlights Medium skin tone,Knits is perfect for summer weather,ideal for edgy style.,Vibrant
Dark,Dusty Rose Canvas Jacket + Olive Green Chinos,Dusty Rose highlights Dark skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Muted
Honey,Terracotta Velvet Jacket + Sand Chinos,Terracotta highlights Honey skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Earthy
Caramel,Black Corduroy Jacket + Charcoal Chinos,Black highlights Caramel skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Monochrome
Deep Tan,Bright Yellow Flannel Jacket + Cyan Chinos,Bright Yellow highlights Deep Tan skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Playful
Warm Brown,Teal Chiffon Jacket + Magenta Chinos,Teal highlights Warm Brown skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Vibrant
Ebony,Dusty Rose Knits Jacket + Olive Green Chinos,Dusty Rose highlights Ebony skin tone,Knits is perfect for spring weather,ideal for edgy style.,Muted
Porcelain,Terracotta Canvas Jacket + Sand Chinos,Terracotta highlights Porcelain skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Earthy
Light,Black Velvet Jacket + Charcoal Chinos,Black highlights Light skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Monochrome
Beige,Bright Yellow Corduroy Jacket + Cyan Chinos,Bright Yellow highlights Beige skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Playful
Olive,Teal Flannel Jacket + Magenta Chinos,Teal highlights Olive skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Vibrant
Deep Dark,Dusty Rose Chiffon Jacket + Olive Green Chinos,Dusty Rose highlights Deep Dark skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Muted
Fair,Terracotta Knits Jacket + Sand Chinos,Terracotta highlights Fair skin tone,Knits is perfect for summer weather,ideal for edgy style.,Earthy
Tan,Black Canvas Jacket + Charcoal Chinos,Black highlights Tan skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Monochrome
Medium,Bright Yellow Velvet Jacket + Cyan Chinos,Bright Yellow highlights Medium skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Playful
Dark,Teal Corduroy Jacket + Magenta Chinos,Teal highlights Dark skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Vibrant
Honey,Dusty Rose Flannel Jacket + Olive Green Chinos,Dusty Rose highlights Honey skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Muted
Caramel,Terracotta Chiffon Jacket + Sand Chinos,Terracotta highlights Caramel skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Earthy
Deep Tan,Black Knits Jacket + Charcoal Chinos,Black highlights Deep Tan skin tone,Knits is perfect for spring weather,ideal for edgy style.,Monochrome
Warm Brown,Bright Yellow Canvas Jacket + Cyan Chinos,Bright Yellow highlights Warm Brown skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Playful
Ebony,Teal Velvet Jacket + Magenta Chinos,Teal highlights Ebony skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Vibrant
Porcelain,Dusty Rose Corduroy Jacket + Olive Green Chinos,Dusty Rose highlights Porcelain skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Muted
Light,Terracotta Flannel Jacket + Sand Chinos,Terracotta highlights Light skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Earthy
Beige,Black Chiffon Jacket + Charcoal Chinos,Black highlights Beige skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Monochrome
Olive,Bright Yellow Knits Jacket + Cyan Chinos,Bright Yellow highlights Olive skin tone,Knits is perfect for summer weather,ideal for edgy style.,Playful
Deep Dark,Teal Canvas Jacket + Magenta Chinos,Teal highlights Deep Dark skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Vibrant
Fair,Dusty Rose Velvet Jacket + Olive Green Chinos,Dusty Rose highlights Fair skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Muted
Tan,Terracotta Corduroy Jacket + Sand Chinos,Terracotta highlights Tan skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Earthy
Medium,Black Flannel Jacket + Charcoal Chinos,Black highlights Medium skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Monochrome
Dark,Bright Yellow Chiffon Jacket + Cyan Chinos,Bright Yellow highlights Dark skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Playful
Honey,Teal Knits Jacket + Magenta Chinos,Teal highlights Honey skin tone,Knits is perfect for spring weather,ideal for edgy style.,Vibrant
Caramel,Dusty Rose Canvas Jacket + Olive Green Chinos,Dusty Rose highlights Caramel skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Muted
Deep Tan,Terracotta Velvet Jacket + Sand Chinos,Terracotta highlights Deep Tan skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Earthy
Warm Brown,Black Corduroy Jacket + Charcoal Chinos,Black highlights Warm Brown skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Monochrome
Ebony,Bright Yellow Flannel Jacket + Cyan Chinos,Bright Yellow highlights Ebony skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Playful
Porcelain,Teal Chiffon Jacket + Magenta Chinos,Teal highlights Porcelain skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Vibrant
Light,Dusty Rose Knits Jacket + Olive Green Chinos,Dusty Rose highlights Light skin tone,Knits is perfect for summer weather,ideal for edgy style.,Muted
Beige,Terracotta Canvas Jacket + Sand Chinos,Terracotta highlights Beige skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Earthy
Olive,Black Velvet Jacket + Charcoal Chinos,Black highlights Olive skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Monochrome
Deep Dark,Bright Yellow Corduroy Jacket + Cyan Chinos,Bright Yellow highlights Deep Dark skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Playful
Fair,Teal Flannel Jacket + Magenta Chinos,Teal highlights Fair skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Vibrant
Tan,Dusty Rose Chiffon Jacket + Olive Green Chinos,Dusty Rose highlights Tan skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Muted
Medium,Terracotta Knits Jacket + Sand Chinos,Terracotta highlights Medium skin tone,Knits is perfect for spring weather,ideal for edgy style.,Earthy
Dark,Black Canvas Jacket + Charcoal Chinos,Black highlights Dark skin tone,Canvas is perfect for fall weather,ideal for bohemian style.,Monochrome
Honey,Bright Yellow Velvet Jacket + Cyan Chinos,Bright Yellow highlights Honey skin tone,Velvet is perfect for summer weather,ideal for athleisure style.,Playful
Caramel,Teal Corduroy Jacket + Magenta Chinos,Teal highlights Caramel skin tone,Corduroy is perfect for winter weather,ideal for resortwear style.,Vibrant
Deep Tan,Dusty Rose Flannel Jacket + Olive Green Chinos,Dusty Rose highlights Deep Tan skin tone,Flannel is perfect for spring weather,ideal for minimalist style.,Muted
Warm Brown,Terracotta Chiffon Jacket + Sand Chinos,Terracotta highlights Warm Brown skin tone,Chiffon is perfect for fall weather,ideal for festive style.,Earthy
Ebony,Black Knits Jacket + Charcoal Chinos,Black highlights Ebony skin tone,Knits is perfect for summer weather,ideal for edgy style.,Monochrome
Porcelain,Bright Yellow Canvas Jacket + Cyan Chinos,Bright Yellow highlights Porcelain skin tone,Canvas is perfect for winter weather,ideal for bohemian style.,Playful
Light,Teal Velvet Jacket + Magenta Chinos,Teal highlights Light skin tone,Velvet is perfect for spring weather,ideal for athleisure style.,Vibrant
Beige,Dusty Rose Corduroy Jacket + Olive Green Chinos,Dusty Rose highlights Beige skin tone,Corduroy is perfect for fall weather,ideal for resortwear style.,Muted
Olive,Terracotta Flannel Jacket + Sand Chinos,Terracotta highlights Olive skin tone,Flannel is perfect for summer weather,ideal for minimalist style.,Earthy
Deep Dark,Black Chiffon Jacket + Charcoal Chinos,Black highlights Deep Dark skin tone,Chiffon is perfect for winter weather,ideal for festive style.,Monochrome
